Company,Segment,Carbon Accounting,Energy Management,Water Management,India Focus,Integrated Solution
TSC,All Segments,Yes,Yes,Yes,Yes,Yes
Persefoni,Carbon Accounting,Yes,No,No,No,No
IBM Envizi,Carbon Accounting,Yes,Partial,No,No,No
Salesforce Net Zero Cloud,Carbon Accounting,Yes,No,No,No,No
Updapt,ESG Platform,No,No,No,Yes,No
Sphera,ESG Platform,Partial,No,No,No,No
Enablon,ESG Platform,Partial,No,No,No,No
Schneider Electric,Energy Management,No,Yes,No,No,No
Honeywell,Water Management,No,No,Yes,No,No
Johnson Controls,Water Management,No,Partial,Yes,No,No
Siemens,Energy Management,No,Yes,No,No,No
